day6
12-oxo-phytodienoic acid reductase1
12-oxo-phytodienoic acid reductase3
1-aminocyclopropane-1-carboxylate synthase7
3-ketoacyl reductase GL8B
abscisic acid stress ripening5
AC210173.4-FG005
adenosine 5'-phosphosulfate reductase-like7
alternative oxidase2
ammonium transporter3
autophagy1t
Aux/IAA-transcription factor 15
Aux/IAA-transcription factor 32
barren inflorescence2
beta expansin7
bnl10.13a
brassinosteroid catabolism1
bundle sheath defective2
BURP domain-containing protein-RD22-like6
BURP domain-containing protein-RD22-like9
Caffeoyl CoA O-methyltransferase3
calcium dependent protein kinase14
calcium exchanger3
carbonic anhydrase3
cinnamyl alcohol dehydrogenase1
cl22897-1a
clavata3/esr-related27
cyclin1
cyclin5
cyclin7
cyclin8
cyclin-dependent kinase inhibitor7
cystatin6
cysteine protease2
cytochrome P-450 19
diacylglycerol kinase7
divinyl reductase1
embryo specific protein5
embryo surrounding region1
embryo surrounding region2
embryo surrounding region3
embryo surrounding region6
endochitinase precursor4
ferritin1
flavone synthase typeI1
gibberellin 20-oxidase3
gibberellin 2-oxidase6
glossy2
glutathione S-transferase4
glutathione transferase23
glutathione transferase41
glycine decarboxylase1
GNAT-transcription factor 7
GNAT-transcription factor 8
GRMZM2G117940
GRMZM2G315431
guaiacol peroxidase3
hexokinase7
HMG-transcription factor 9
hydroperoxide lyase1
invertase cell wall4
invertase1
invertase2
kinesin-related protein2
light harvesting complex A1
light harvesting complex mesophyll7
lipoxygenase1
lipoxygenase12
MAP kinase3
maternally expressed gene14
Mg chelataseD1
monosaccharide transporter1
multidrug and toxic compound extrusion1
multidrug resistance-associated protein3
nine-cis-epoxycarotenoid dioxygenase9
nitrate transporter/peptide transporter family1
NOD26-like membrane intrinsic protein1
pangloss1
pco137163
phenylalanine ammonia lyase3
phosphate transporter protein7
phosphoenolpyruvate carboxylase kinase4
phospholipase D10
phospholipid transfer protein homolog2
phospholipid transfer protein homolog3
photosystemI2
physical impedance induced protein2
phytochromeA1
phytochromeA2
phytosulfokine peptide precursor1
PIN-formed protein4
plasma membrane intrinsic protein1-Zm00001d002690
precursor elicitor peptide1
precursor elicitor peptide4
rbcl rna s1-binding domain protein1
red aleurone1
respiratory burst oxidase4
rotten ear3
serine carboxypeptidase1
SET domain group 103
SnRK2 serine threonine protein kinase7
somatic embryogenesis receptor-like kinase1
subtilisin1
succinate dehydrogenase9
sucrose transporter5
SUN domain protein4
superoxide dismutase9
tangled1
tassel seed1
tassel seed2
TF-ABI3-VP1-transcription factor 26
TF-ABI3-VP1-transcription factor 33
TF-ABI3-VP1-transcription factor 7
TF-AP2-EREBP-transcription factor 101
TF-AP2-EREBP-transcription factor 108
TF-AP2-EREBP-transcription factor 115
TF-AP2-EREBP-transcription factor 13
TF-AP2-EREBP-transcription factor 134
TF-AP2-EREBP-transcription factor 135
TF-AP2-EREBP-transcription factor 16
TF-AP2-EREBP-transcription factor 172
TF-AP2-EREBP-transcription factor 175
TF-AP2-EREBP-transcription factor 182
TF-AP2-EREBP-transcription factor 186
TF-AP2-EREBP-transcription factor 195
TF-AP2-EREBP-transcription factor 21
TF-AP2-EREBP-transcription factor 211
TF-AP2-EREBP-transcription factor 23
TF-AP2-EREBP-transcription factor 29
TF-AP2-EREBP-transcription factor 30
TF-AP2-EREBP-transcription factor 36
TF-AP2-EREBP-transcription factor 42
TF-AP2-EREBP-transcription factor 53
TF-AP2-EREBP-transcription factor 54
TF-AP2-EREBP-transcription factor 7
TF-AP2-EREBP-transcription factor 79
TF-AP2-EREBP-transcription factor 93
TF-ARF-transcription factor 15
TF-ARF-transcription factor 26
TF-ARF-transcription factor 29
TF-ARF-transcription factor 30
TF-ARF-transcription factor 5
TF-ARR-B-transcription factor 4
TF-ARR-B-transcription factor 5
TF-bHLH-transcription factor 103
TF-bHLH-transcription factor 11
TF-bHLH-transcription factor 116
TF-bHLH-transcription factor 117
TF-bHLH-transcription factor 132
TF-bHLH-transcription factor 48
TF-bHLH-transcription factor 79
TF-bZIP-transcription factor 110
TF-bZIP-transcription factor 23
TF-bZIP-transcription factor 62
TF-C2C2-Dof-transcription factor 16
TF-C2C2-GATA-transcription factor 13
TF-C2H2-transcription factor 25
TF-C3H-transcription factor 320
TF-C3H-transcription factor 339
TF-C3H-transcription factor 37
TF-CCAAT-DR1-transcription factor 14
TF-CCAAT-DR1-transcription factor 8
