Gene Symbol	6d-average	7d-average	8d-average
Zm00001d033919	101.5091695	124.8191995	45.92947106
Zm00001d033924	10.34335424	14.87648253	52.46432515
Zm00001d033925	3.482203236	20.19620065	12.51557873
Zm00001d033931	988.1504613	427.8315746	1056.316435
Zm00001d033941	2.656238335	2.205547944	5.374153167
Zm00001d033957	26.19189356	42.34486618	11.21844871
Zm00001d033965	62.28712296	53.72044457	29.04669318
Zm00001d033967	8.40583971	10.31012299	3.061903875
Zm00001d033976	0.547148475	2.895932465	1.210808876
Zm00001d033989	4.600811488	9.742313059	3.769535991
Zm00001d033990	0.066875382	0.360702018	0.223217564
Zm00001d033995	2.754143714	4.816860269	1.880733947
Zm00001d033999	76.5055601	89.87169419	35.87411601
Zm00001d034017	1.689500271	4.229695162	8.404330973
Zm00001d034025	60.76374952	70.43545176	29.66347932
Zm00001d034026	21.89954937	23.08892415	10.67485989
Zm00001d034027	2.327004913	12.37943708	6.557915089
Zm00001d034035	1.317026075	1.716133051	36.19539355
Zm00001d034039	1.949957616	0.963518028	0.601855409
Zm00001d034045	0.155808855	0.45783016	0.190436005
Zm00001d034047	0.113246091	0.555528084	0.346973368
ENSRNA049468913	0.88988596	0.648530483	1.620777227
Zm00001d034074	127.2445348	65.9731722	1292.280502
Zm00001d034076	9.836919294	27.0432556	13.48533074
Zm00001d034099	0.823010577	0.215298622	0.175329293
Zm00001d034103	1.199183782	4.048602835	3.023536904
Zm00001d034104	3.057230499	11.35896564	5.525981694
Zm00001d034112	861.2370728	1053.377388	476.2843586
Zm00001d034115	1.062477378	1.10934746	2.369231429
Zm00001d034143	0.298641776	0.633101089	0.878399615
Zm00001d034145	41.79762824	56.52882095	18.04687345
Zm00001d034160	22.40044133	15.77018373	33.88401731
Zm00001d034163	0.152745596	0.499492725	0.056167154
Zm00001d034175	3.217807225	9.815747265	4.419373136
Zm00001d034186	0.276583686	0.684006396	0.859911935
Zm00001d034192	3.737687443	4.192654286	9.74336183
Zm00001d034194	5.121568428	7.343004138	14.11569355
Zm00001d034196	0.367048788	1.773511864	2.096883175
Zm00001d034197	0.695385016	1.650576587	2.235839155
Zm00001d034206	52.88205679	53.55493324	21.56558863
Zm00001d034225	0.404315553	0.311000983	0.132577291
Zm00001d034245	31.82616992	49.72503732	24.2115729
Zm00001d034249	0.617917635	0.436644714	1.773504037
Zm00001d034252	10.23651581	7.954063146	17.05428137
Zm00001d034298	0.313894025	0.177188092	0.631192258
Zm00001d034301	0.199094518	0.559227792	0.344405233
Zm00001d034312	0.581395555	1.066193769	0.513481173
Zm00001d034356	72.61614448	157.1384615	59.19404444
Zm00001d034359	8.203192121	8.635265706	4.136052528
Zm00001d034365	7.726408054	12.13924418	4.937332802
Zm00001d034376	1.218286234	2.876098964	0.925651817
Zm00001d034380	9.322484955	5.561027768	37.06201169
Zm00001d034382	0.997791162	0.141212307	0.345281808
Zm00001d034383	15.34282936	12.09500385	6.116164937
Zm00001d034388	0.336631439	1.002193776	2.039390304
Zm00001d034405	0.614067431	1.694030187	0.889487139
Zm00001d034407	1.722764323	2.459513823	1.143220227
Zm00001d034410	10.71240531	19.19649382	5.068178649
Zm00001d034417	0.75385888	0.807080855	0.250862854
Zm00001d034418	4.035282145	4.916922938	0.455590587
Zm00001d034420	11.63194609	23.73436851	17.29359739
Zm00001d034435	2.885025989	6.679396461	2.955854791
Zm00001d034468	1.76307256	2.36715897	1.044332942
Zm00001d034469	3.261047998	3.73323698	1.621685675
Zm00001d023017	0.484057935	0.739102792	0.369210008
Zm00001d034484	0.535790004	0.350037422	0.086380579
Zm00001d034488	0.372344788	0.56469699	0.161673633
Zm00001d034489	0.772109027	1.578333598	0.584482661
Zm00001d034494	45.62239072	37.1161464	21.27832274
Zm00001d034501	94.13741337	103.4347905	37.78336752
Zm00001d034505	60.17084167	39.6121881	83.95197628
Zm00001d034506	0.489441082	0.548628542	0.142547733
Zm00001d034523	3.65221595	4.095939125	7.483845146
Zm00001d034536	0.135282394	0.457969342	0.097227596
Zm00001d034547	1561.055618	1824.379195	646.5675303
Zm00001d034564	1.279013311	1.622565434	24.12011979
Zm00001d034568	1.260784952	2.709444777	2.64387544
Zm00001d034571	4.600111692	7.360859695	3.678750826
Zm00001d034573	23.46466558	45.11531957	16.06803748
Zm00001d034588	522.6772963	664.4680285	185.2665009
Zm00001d034596	2.051058291	2.776623058	0.680291076
Zm00001d034601	64.23070785	97.32993491	41.34343937
Zm00001d034604	11.43291562	14.53490568	22.94753084
Zm00001d034611	0.67179661	0.33332992	0.109766173
Zm00001d034615	15.13616253	13.39350365	6.152548415
Zm00001d034620	34.02660029	27.78756621	67.22389579
Zm00001d034629	10.14374866	14.96581982	25.13955019
Zm00001d034634	22.72947604	23.60323332	11.5967649
Zm00001d034635	2.858092407	6.524545797	7.074848985
Zm00001d034642	43.40199718	51.40275137	18.93289417
Zm00001d034655	13.19356067	17.5426743	7.052997743
Zm00001d034663	4.329289402	11.681201	12.04003356
Zm00001d034671	0.500735507	0.560432064	0.211253464
Zm00001d034672	2.748018511	6.184673098	0.762954566
Zm00001d034673	8.333711903	13.70270511	3.731045835
Zm00001d034678	29.34990581	51.51934054	13.3870592
Zm00001d034691	0.876229387	0.841287151	0.372593127
Zm00001d034699	1.421889806	2.721665844	2.940298937
Zm00001d034700	30.99206232	43.66426521	18.07784613
Zm00001d034705	0.467448353	0.776230559	1.057414125
Zm00001d034733	15.69394658	35.4772263	11.18603515
Zm00001d034735	16.88013132	20.98221369	8.980960034
Zm00001d034739	9.397892578	7.278717291	16.47263707
Zm00001d034749	2.86739112	6.417896549	1.44396501
Zm00001d034756	1.836733312	15.82258865	17.29894015
Zm00001d034759	4.843430011	3.521077412	0.980763481
Zm00001d034769	1.202334189	1.10479568	0.222100482
Zm00001d034773	17.00230706	9.680582429	24.5745317
Zm00001d034776	102.1665391	61.27099965	145.5699944
Zm00001d034781	5.412507169	7.550125109	11.77751301
