Gene Symbol	SPOT	Profile	6d-average	7d-average	8d-average
Zm00001d027755	351	5	0	1.02	0.28
Zm00001d027759	355	6	0	3.93	4.54
Zm00001d027766	358	3	0	1.06	-1.29
Zm00001d027788	362	3	0	1.81	-1.86
Zm00001d027802	369	5	0	8.01	0
ENSRNA049472005	374	6	0	2.22	1.3
Zm00001d027810	375	2	0	-5.03	0.52
Zm00001d027813	378	2	0	-0.76	0.42
Zm00001d027816	380	4	0	0.57	2.35
Zm00001d027819	381	3	0	2.31	-3.7
Zm00001d027820	382	3	0	2.57	-4.31
Zm00001d027821	383	3	0	2.05	-4.8
Zm00001d027824	384	5	0	7.77	0
Zm00001d027832	388	5	0	2.27	0.89
Zm00001d027833	389	5	0	6.33	0
Zm00001d027846	400	5	0	1.4	-0.05
Zm00001d027850	403	7	0	0.62	1.45
Zm00001d027852	406	6	0	1.75	1.26
Zm00001d027853	407	2	0	-1.43	0.64
Zm00001d027855	409	6	0	5.75	3.91
Zm00001d027859	411	5	0	5.27	0
Zm00001d027863	414	3	0	1.03	-1.12
Zm00001d027870	417	3	0	-0.6	-6.23
Zm00001d027874	421	7	0	0.95	1.69
Zm00001d027877	424	4	0	0.02	1.91
Zm00001d027878	425	7	0	1.56	3.32
Zm00001d027883	428	3	0	0.22	-1.08
Zm00001d027888	433	6	0	1.34	1.05
Zm00001d027890	434	3	0	0.14	-2.46
Zm00001d027892	435	2	0	-2.33	-1.05
Zm00001d027894	437	4	0	-0.42	1.03
Zm00001d027902	444	1	0	-6.09	-6.09
Zm00001d027904	446	5	0	1.43	-0.44
Zm00001d027907	447	3	0	-0.29	-1.11
Zm00001d027908	448	5	0	8.06	3.91
Zm00001d027915	449	5	0	4.95	0
Zm00001d027919	452	3	0	-0.37	-5.3
Zm00001d027924	456	7	0	1.07	1.57
Zm00001d027925	457	6	0	8.38	6.01
Zm00001d027927	458	3	0	1.57	-1.98
Zm00001d027928	459	5	0	2.75	0.26
Zm00001d027929	460	3	0	0.75	-1.63
Zm00001d027932	461	3	0	0.51	-0.87
Zm00001d027935	463	2	0	-5.36	-0.44
Zm00001d027938	466	6	0	2.78	2.55
Zm00001d027939	467	3	0	0.11	-1.02
ENSRNA049471996	469	5	0	1.18	-1.07
Zm00001d027943	470	3	0	0.38	-0.78
Zm00001d027948	473	5	0	4.93	0
Zm00001d027958	480	4	0	-0.13	2.64
Zm00001d027977	491	1	0	-5.24	-5.24
Zm00001d022686	493	4	0	-0.65	0.99
Zm00001d027983	495	3	0	0.82	-2.57
Zm00001d027988	497	3	0	0.28	-1.08
Zm00001d027989	498	2	0	-3.77	0.14
Zm00001d027992	500	3	0	0.5	-0.97
Zm00001d027994	501	3	0	0.72	-6.71
Zm00001d027995	502	3	0	1.21	-2.14
Zm00001d027996	503	6	0	5.25	3.66
Zm00001d027999	505	6	0	1.05	1.42
ENSRNA049472011	506	4	0	0	4.91
Zm00001d028002	507	4	0	-0.45	0.57
Zm00001d028003	508	4	0	0.29	2.32
Zm00001d028007	512	5	0	1.06	0.11
Zm00001d028011	515	6	0	1.68	1.95
Zm00001d022687	516	4	0	-0.43	2.51
Zm00001d028012	517	4	0	-0.28	1.41
Zm00001d028015	519	4	0	0	4.91
Zm00001d028017	520	3	0	-0.09	-1.16
Zm00001d028045	533	3	0	-0.16	-1.54
Zm00001d028055	540	5	0	0.67	-0.41
Zm00001d028056	541	6	0	3.72	3.59
Zm00001d028064	543	5	0	1.02	0.4
Zm00001d028074	546	2	0	-1.56	1.04
Zm00001d028075	547	4	0	0.15	2.27
Zm00001d028076	548	6	0	5.11	5.26
Zm00001d028079	550	5	0	4.93	0
Zm00001d022692	552	3	0	0.49	-5.03
Zm00001d028089	555	7	0	0.57	1.01
Zm00001d028092	556	6	0	3.95	2.33
Zm00001d028094	558	5	0	1.83	0.25
Zm00001d022693	559	0	0	-2.35	-6.27
Zm00001d028108	569	5	0	4.93	0
Zm00001d028110	571	3	0	0.44	-5.58
Zm00001d028111	572	4	0	0.19	1.21
Zm00001d028112	573	0	0	-0.31	-1.1
Zm00001d028120	580	5	0	5.27	0
Zm00001d028122	581	3	0	-0.17	-1.71
Zm00001d028123	582	5	0	5.75	0
Zm00001d028129	585	5	0	0.95	-0.51
Zm00001d028139	587	5	0	0.95	-0.21
Zm00001d028141	589	1	0	-5.69	-5.69
Zm00001d028142	590	5	0	5.94	0
Zm00001d028151	592	6	0	6.59	8.36
Zm00001d028154	595	5	0	1.27	0.52
Zm00001d022697	596	4	0	0	5.91
Zm00001d028159	597	5	0	0.93	-0.12
