Gene Symbol	SPOT	Profile	6d-average	7d-average	8d-average
Zm00001d053064	7035	5	0	1.7	0.67
Zm00001d053068	7039	2	0	-3.77	0.37
Zm00001d026990	7041	5	0	1	-0.32
Zm00001d053079	7043	3	0	-0.43	-4.36
Zm00001d026991	7051	6	0	5.11	3.91
Zm00001d053095	7053	3	0	-1	-3.87
Zm00001d053098	7054	0	0	-1.24	-2.4
Zm00001d053099	7055	3	0	2.07	-2.2
Zm00001d053102	7059	7	0	0.55	1.42
Zm00001d053107	7062	0	0	-0.99	-1.45
Zm00001d053108	7063	1	0	-1.53	-1.97
Zm00001d053112	7065	3	0	2.15	-3.49
Zm00001d053113	7066	1	0	-1.53	-1.1
Zm00001d053114	7067	1	0	-1.79	-2.19
Zm00001d053117	7068	3	0	2.11	-2.39
Zm00001d053118	7069	5	0	3.88	-2.16
Zm00001d053120	7071	6	0	5.27	6.09
Zm00001d053124	7074	7	0	3.93	5.5
Zm00001d053130	7077	0	0	-2.11	-3.83
Zm00001d053142	7079	6	0	6.95	5.26
Zm00001d053143	7080	3	0	0.27	-2.33
Zm00001d053145	7082	1	0	-7.3	-7.3
Zm00001d053151	7086	6	0	3	2.05
Zm00001d053153	7087	0	0	-4.96	-8.88
Zm00001d053154	7088	0	0	-3.71	-7.66
Zm00001d026996	7091	2	0	-2.6	-1.1
Zm00001d053162	7092	3	0	-0.19	-1.03
Zm00001d026997	7093	3	0	0.02	-1.2
Zm00001d053163	7094	2	0	-6.06	0.3
Zm00001d053165	7095	5	0	2.73	1.36
Zm00001d053172	7097	5	0	1.2	-0.26
Zm00001d053178	7101	4	0	-0.49	0.79
Zm00001d053181	7103	3	0	0.1	-1.64
Zm00001d053186	7107	2	0	-3.22	0.4
Zm00001d053195	7110	3	0	0.13	-2.41
Zm00001d053199	7113	2	0	-5.58	-1.03
Zm00001d027001	7119	5	0	6.03	0
Zm00001d053213	7122	0	0	-0.63	-1.15
Zm00001d053214	7123	5	0	6.33	0
Zm00001d053215	7124	3	0	0.37	-1.86
Zm00001d053221	7126	2	0	-5.77	-0.63
Zm00001d053226	7129	3	0	-1.04	-5.3
Zm00001d053233	7134	6	0	1.38	0.81
Zm00001d027003	7136	0	0	-1.48	-2.57
Zm00001d053236	7137	3	0	0.13	-1.29
Zm00001d053237	7138	5	0	4.93	0
Zm00001d027004	7141	6	0	3.93	5.03
Zm00001d053252	7145	5	0	2.02	0.3
Zm00001d053256	7147	3	0	1.12	-2.59
Zm00001d053266	7152	0	0	-0.83	-1.63
Zm00001d053268	7153	5	0	1.25	0.05
Zm00001d053269	7154	6	0	1.71	0.98
Zm00001d027008	7156	4	0	0.05	1.05
Zm00001d053277	7159	4	0	0	6.51
Zm00001d053280	7160	4	0	0	9.1
Zm00001d053285	7165	1	0	-1.93	-2.59
Zm00001d053288	7167	7	0	0.3	1.06
Zm00001d053307	7177	3	0	3.02	-3.77
Zm00001d053309	7179	5	0	1.98	0.9
Zm00001d053310	7180	4	0	0	5.87
Zm00001d053313	7181	6	0	1.77	1.34
Zm00001d053322	7183	4	0	0	6.25
Zm00001d053327	7184	2	0	-4.24	-0.33
Zm00001d053328	7185	3	0	-0.3	-2.89
Zm00001d053329	7186	1	0	-1.65	-2.01
Zm00001d053331	7187	0	0	-1.95	-3.48
Zm00001d053332	7188	0	0	-1.59	-5.53
Zm00001d053333	7189	2	0	-3.77	1.26
Zm00001d053342	7191	3	0	1	-2.07
Zm00001d053367	7201	3	0	-0.16	-1.09
Zm00001d053368	7202	4	0	0	6.64
Zm00001d053385	7213	3	0	2.02	-4.24
Zm00001d053386	7214	1	0	-5.24	-5.24
Zm00001d053393	7215	3	0	-0.2	-1.67
Zm00001d053394	7216	5	0	0.85	-0.77
Zm00001d053395	7217	6	0	2.78	3.35
Zm00001d053409	7224	3	0	0.68	-1.19
Zm00001d053412	7225	6	0	1	0.57
Zm00001d053415	7226	5	0	1.04	-0.32
Zm00001d027011	7228	3	0	0.57	-0.61
Zm00001d053429	7231	3	0	1.34	-3.77
Zm00001d053431	7232	1	0	-1.88	-1.95
Zm00001d053432	7233	0	0	-1.59	-5.53
Zm00001d053434	7234	3	0	-0.36	-5.3
Zm00001d053436	7235	5	0	6.33	0
Zm00001d053437	7236	3	0	4.2	-4.36
Zm00001d053438	7237	7	0	0.93	2
Zm00001d053442	7238	6	0	4.27	5.73
Zm00001d053445	7239	5	0	4.93	0
Zm00001d053446	7240	4	0	0.28	1.51
Zm00001d053451	7244	2	0	-6.56	0.41
Zm00001d053513	7247	3	0	-0.39	-2.04
Zm00001d053514	7248	3	0	0.7	-7.07
Zm00001d053518	7250	7	0	0.62	1.46
Zm00001d053519	7251	4	0	-0.47	1.8
Zm00001d053525	7254	0	0	-0.62	-1.19
Zm00001d053532	7259	5	0	4.95	0
Zm00001d053533	7260	3	0	0.6	-0.94
Zm00001d053542	7264	3	0	-0.77	-2.94
Zm00001d053543	7265	5	0	1.31	-0.85
Zm00001d027015	7266	3	0	1.07	-2.46
Zm00001d027016	7267	1	0	-1.3	-0.7
Zm00001d053547	7270	2	0	-0.64	0.4
Zm00001d053554	7274	4	0	0	5.74
Zm00001d053557	7277	0	0	-1.89	-2.77
Zm00001d053562	7282	3	0	0.36	-1.14
Zm00001d053563	7283	5	0	0.57	-0.47
Zm00001d027018	7284	0	0	-1.07	-3.68
Zm00001d053566	7287	2	0	-1.46	0.34
Zm00001d053568	7288	6	0	2.36	2.16
Zm00001d053569	7289	3	0	-1.36	-5.3
Zm00001d053571	7290	3	0	-1.22	-6.33
Zm00001d053576	7293	2	0	-0.7	0.33
Zm00001d053578	7294	6	0	3.95	4.14
Zm00001d053581	7296	3	0	1.11	-3
Zm00001d027019	7297	5	0	6.39	0
Zm00001d053582	7298	5	0	6.4	0
Zm00001d053585	7299	4	0	0.21	1.89
Zm00001d053586	7300	2	0	-5.94	0.03
Zm00001d053588	7302	5	0	1.62	0.64
Zm00001d027020	7305	6	0	1.31	0.77
Zm00001d027021	7307	5	0	1.01	-0.25
Zm00001d053594	7308	4	0	0	4.91
Zm00001d053597	7310	2	0	-5.24	-1.33
Zm00001d053599	7311	5	0	4.95	0
Zm00001d053600	7312	1	0	-1.98	-1.52
Zm00001d053607	7314	6	0	1.23	1.39
Zm00001d053612	7319	5	0	0.77	-0.52
Zm00001d053617	7322	3	0	0.64	-1.37
Zm00001d053623	7325	5	0	1.05	0.33
Zm00001d053626	7328	3	0	0.59	-0.82
Zm00001d027022	7329	3	0	-0.04	-1.87
Zm00001d053631	7333	1	0	-5.03	-5.03
Zm00001d027023	7339	7	0	3.95	5.58
Zm00001d053639	7340	7	0	3.63	5.87
Zm00001d027024	7343	3	0	0.39	-1.04
Zm00001d053652	7349	4	0	0.02	3.19
Zm00001d053654	7350	4	0	-1.1	1.69
Zm00001d053655	7351	3	0	1.63	-7.4
Zm00001d053659	7356	7	0	0.45	1.47
Zm00001d053662	7359	2	0	-0.84	0.37
Zm00001d053672	7364	7	0	0.39	1.41
Zm00001d053675	7367	4	0	-0.19	1.32
Zm00001d053678	7369	6	0	2.26	1.26
Zm00001d053681	7371	4	0	0	5.14
Zm00001d053684	7373	7	0	1.74	2.59
Zm00001d053689	7378	6	0	6.9	7.04
Zm00001d053694	7379	3	0	0.47	-0.79
Zm00001d053695	7380	3	0	-0.07	-1.6
Zm00001d053701	7384	2	0	-4.77	-0.86
Zm00001d053703	7386	7	0	1.26	3.43
Zm00001d053705	7388	3	0	-0.11	-1.36
Zm00001d053706	7389	3	0	0.53	-3.06
Zm00001d053711	7392	4	0	0	4.91
Zm00001d053714	7394	5	0	4.95	0
Zm00001d053715	7395	6	0	5.98	5.05
Zm00001d053722	7399	5	0	1.93	0.17
Zm00001d053723	7400	4	0	0	4.91
Zm00001d053729	7406	6	0	1.18	1.24
Zm00001d053733	7409	3	0	-0.36	-2.36
Zm00001d053734	7410	0	0	-1.58	-2.57
Zm00001d053735	7411	0	0	-0.88	-2.02
Zm00001d027028	7412	4	0	0.22	1.26
Zm00001d053740	7415	3	0	0.06	-1.06
Zm00001d053746	7418	3	0	0.18	-1.44
Zm00001d053750	7422	1	0	-2.28	-2.37
Zm00001d053755	7426	6	0	6.52	4.14
Zm00001d053756	7427	0	0	-1.34	-2.73
Zm00001d053757	7428	3	0	0.34	-4.77
ENSRNA049466701	7434	3	0	2.22	-5.77
Zm00001d053770	7435	5	0	4.8	0.3
Zm00001d053772	7436	6	0	3.92	2.23
Zm00001d053781	7440	3	0	-0.44	-2.94
Zm00001d053785	7444	1	0	-1.62	-1.85
Zm00001d053788	7446	3	0	1.97	-5.18
Zm00001d027031	7447	3	0	1.86	-9.46
Zm00001d053797	7448	3	0	2.58	-6.96
Zm00001d053798	7449	4	0	-0.37	0.7
Zm00001d053803	7454	3	0	0.05	-1.87
Zm00001d053806	7456	1	0	-5.03	-5.03
Zm00001d053809	7459	1	0	-5.36	-5.36
Zm00001d053810	7460	3	0	-1.1	-6.2
Zm00001d053812	7461	5	0	4.93	0
ENSRNA049997276	7466	3	0	0.76	-4.77
Zm00001d027036	7472	2	0	-4.36	-0.22
Zm00001d053828	7475	7	0	1.34	2.46
Zm00001d053829	7476	6	0	1.88	2.31
Zm00001d053832	7478	2	0	-1	0.01
Zm00001d053836	7481	3	0	0.79	-1.31
Zm00001d053839	7483	6	0	6.89	5.54
Zm00001d053843	7485	5	0	0.97	-0.24
Zm00001d053845	7486	7	0	4.93	8.43
ENSRNA049466709	7488	5	0	5.52	0
Zm00001d053851	7489	1	0	-4.77	-4.77
Zm00001d053853	7491	5	0	0.71	-0.7
Zm00001d053856	7493	3	0	0.4	-1.71
Zm00001d053860	7497	5	0	5.51	0
Zm00001d053865	7501	1	0	-1.32	-0.97
Zm00001d053868	7503	2	0	-1.94	0.18
Zm00001d053876	7508	6	0	1.29	1.05
Zm00001d053878	7509	3	0	1.16	-3.77
Zm00001d053884	7513	2	0	-1.04	0.05
Zm00001d053890	7519	7	0	0.46	1.45
Zm00001d053895	7522	1	0	-2.51	-2.18
Zm00001d053897	7523	1	0	-1.11	-0.77
Zm00001d053912	7532	1	0	-1.98	-1.36
Zm00001d053916	7534	1	0	-5.36	-5.36
Zm00001d053918	7536	3	0	0.59	-1.39
Zm00001d053925	7539	6	0	1.71	0.92
Zm00001d053926	7540	5	0	1.12	0.16
Zm00001d053933	7546	4	0	0	5.87
Zm00001d053938	7549	2	0	-0.92	0.46
Zm00001d027040	7553	2	0	-0.52	0.49
Zm00001d053953	7555	4	0	0.14	1.53
Zm00001d053956	7557	2	0	-4.24	1.84
Zm00001d053961	7560	0	0	-2.72	-10.02
Zm00001d053965	7564	5	0	1.16	-0.38
Zm00001d053982	7579	3	0	1.39	-4.24
Zm00001d053988	7585	6	0	3.75	1.96
ENSRNA049466664	7593	7	0	0.6	1.13
ENSRNA049466642	7595	7	0	0.29	1.02
Zm00001d053995	7596	3	0	0.26	-1.2
Zm00001d053999	7600	3	0	-1.42	-6.36
Zm00001d054010	7610	1	0	-3.16	-3.17
Zm00001d054015	7615	5	0	0.99	-0.13
Zm00001d054016	7616	5	0	1.18	-0.98
Zm00001d054034	7621	3	0	0.45	-0.64
Zm00001d054044	7626	6	0	8.09	10.55
Zm00001d054050	7630	5	0	4.95	0
Zm00001d054055	7633	3	0	0.57	-4.36
Zm00001d054066	7639	4	0	-0.11	1.07
Zm00001d054067	7640	3	0	0.86	-2.54
Zm00001d054074	7645	5	0	1.46	-0.04
Zm00001d054075	7646	3	0	0.37	-2.37
Zm00001d054080	7651	7	0	0.92	2
Zm00001d054084	7652	2	0	-0.79	0.39
Zm00001d054085	7653	4	0	-0.73	0.79
Zm00001d054086	7654	6	0	5.11	3.91
Zm00001d054087	7655	2	0	-1.16	-0.12
Zm00001d054093	7658	7	0	1.25	3.45
Zm00001d054110	7666	3	0	0.32	-1.23
Zm00001d054112	7668	4	0	-0.24	0.92
Zm00001d001769	7673	0	0	-2.39	-3.53
Zm00001d001771	7674	3	0	1.08	-1.73
Zm00001d001772	7675	0	0	-0.93	-1.5
Zm00001d001776	7678	0	0	-2.17	-5.92
Zm00001d001777	7679	3	0	-1.09	-5.36
Zm00001d001779	7680	6	0	1.71	1.57
Zm00001d001781	7682	4	0	-0.22	1.73
Zm00001d001784	7683	2	0	-0.77	0.57
Zm00001d001789	7688	0	0	-0.46	-1.24
Zm00001d001791	7690	3	0	-0.68	-3.06
Zm00001d001792	7691	0	0	-0.69	-2.49
Zm00001d001793	7692	1	0	-3.64	-2.57
Zm00001d001796	7693	7	0	0.79	1.5
Zm00001d001806	7701	6	0	1.9	1.87
Zm00001d001810	7705	3	0	0.45	-1.32
Zm00001d001811	7706	4	0	-0.05	1.86
Zm00001d001812	7707	4	0	0.51	2.19
Zm00001d001813	7708	5	0	1.17	0.12
Zm00001d001818	7710	0	0	-0.89	-3.04
Zm00001d001823	7712	3	0	-0.46	-1.82
Zm00001d001831	7720	0	0	-0.93	-1.44
Zm00001d001832	7721	3	0	0.63	-1.16
Zm00001d001833	7722	5	0	1.97	0.37
Zm00001d001835	7724	2	0	-4.36	-0.22
Zm00001d001839	7727	7	0	6.03	10.58
Zm00001d001843	7731	7	0	0.86	1.33
Zm00001d001857	7742	3	0	0.01	-1.21
Zm00001d001858	7743	6	0	3.39	4.23
Zm00001d001865	7749	3	0	-0.02	-1.21
Zm00001d001873	7755	5	0	5.53	0
Zm00001d001875	7756	1	0	-5.94	-5.94
ENSRNA049472564	7757	3	0	-0.51	-4.77
Zm00001d001877	7758	3	0	0.34	-0.8
Zm00001d000734	7766	5	0	1.17	-0.22
Zm00001d001887	7767	6	0	1.23	1.11
Zm00001d001894	7768	7	0	0.63	1.98
Zm00001d001900	7774	5	0	1.29	0.33
Zm00001d001905	7779	4	0	0.31	1.36
Zm00001d001907	7781	5	0	0.79	-0.74
Zm00001d001910	7784	5	0	0.84	-0.44
Zm00001d001915	7787	6	0	1.03	0.96
Zm00001d001916	7788	1	0	-1.23	-1.51
Zm00001d001924	7791	5	0	1.02	0.24
Zm00001d001927	7792	5	0	6.46	0
Zm00001d001931	7795	0	0	-1.94	-2.83
Zm00001d001941	7802	3	0	-0.08	-1.3
Zm00001d001943	7803	5	0	1.49	-0.07
Zm00001d001944	7804	3	0	0.26	-5.24
Zm00001d001948	7808	0	0	-1.98	-3.61
Zm00001d001960	7814	5	0	1.6	-1.48
Zm00001d001961	7815	4	0	-0.69	1.07
Zm00001d001963	7817	5	0	4.93	0
Zm00001d001971	7823	1	0	-2.25	-1.72
Zm00001d001977	7827	3	0	1.19	-7.25
Zm00001d001982	7831	5	0	1.07	0.44
Zm00001d000736	7832	5	0	3.31	1.56
Zm00001d001984	7834	5	0	2.12	1
Zm00001d001989	7837	7	0	1.29	3.82
Zm00001d001996	7842	6	0	3.28	4.33
Zm00001d002000	7845	4	0	0.09	2.29
Zm00001d000737	7847	5	0	1.5	0.63
Zm00001d002004	7848	4	0	0.1	2.82
Zm00001d002008	7850	1	0	-5.36	-5.36
Zm00001d002011	7851	1	0	-2.57	-3.31
Zm00001d002012	7852	3	0	0.22	-0.9
Zm00001d002013	7853	3	0	0.02	-4.24
Zm00001d002019	7854	3	0	0.25	-6.73
Zm00001d002021	7857	3	0	0.99	-2.27
Zm00001d000740	7860	3	0	0.49	-0.71
Zm00001d002026	7863	4	0	0.1	2
Zm00001d002035	7870	5	0	3.16	1.51
Zm00001d002037	7872	4	0	0	5.14
Zm00001d002038	7873	2	0	-3.93	0.82
Zm00001d002048	7876	5	0	5.53	0
Zm00001d002063	7883	3	0	-0.08	-1.85
Zm00001d000745	7884	3	0	0.24	-1.41
Zm00001d002066	7887	7	0	0.99	2.32
Zm00001d002067	7888	5	0	4.95	0
Zm00001d000746	7889	2	0	-5.24	-1.1
Zm00001d002069	7891	6	0	1.07	0.98
Zm00001d002071	7892	5	0	4.58	1.59
Zm00001d002072	7893	6	0	5.93	7.48
Zm00001d002074	7894	7	0	1.97	3.23
Zm00001d002075	7895	4	0	0.88	3.45
Zm00001d002079	7896	6	0	0.85	1.08
Zm00001d002080	7897	7	0	0.43	1.1
Zm00001d002083	7899	3	0	0.47	-0.56
Zm00001d002088	7904	6	0	1.12	1.24
Zm00001d002089	7905	7	0	1.03	2.3
Zm00001d002094	7908	4	0	0	6.54
Zm00001d002097	7911	6	0	7.18	6.01
Zm00001d002100	7914	3	0	0.5	-0.89
Zm00001d002112	7919	4	0	-0.31	1.02
Zm00001d002122	7923	6	0	0.86	1.05
Zm00001d002124	7924	3	0	-1.32	-5.24
Zm00001d000749	7927	3	0	0.06	-1.47
Zm00001d002127	7928	7	0	1.1	1.81
Zm00001d002128	7930	7	0	0.73	1.09
Zm00001d002129	7931	3	0	0.46	-0.92
Zm00001d002130	7932	3	0	0.59	-1.47
Zm00001d002131	7933	5	0	0.68	-0.45
Zm00001d002132	7934	2	0	-5.36	0.22
Zm00001d002133	7935	3	0	0.49	-3.77
Zm00001d002136	7938	4	0	-0.3	0.73
Zm00001d002137	7939	3	0	0.75	-0.86
Zm00001d002138	7940	6	0	7.75	6.24
Zm00001d002139	7941	4	0	-0.07	0.94
Zm00001d002146	7946	3	0	-0.13	-1.38
ENSRNA049472421	7955	4	0	0.25	1.04
Zm00001d002168	7964	2	0	-5.36	2.13
Zm00001d002174	7967	4	0	-0.61	0.88
Zm00001d002175	7968	4	0	0.43	2.68
Zm00001d002176	7969	0	0	-1.2	-2.82
Zm00001d002179	7971	3	0	-1.3	-5.24
Zm00001d002181	7972	1	0	-4.77	-4.77
Zm00001d002191	7977	3	0	0.5	-0.99
Zm00001d002195	7979	1	0	-6.82	-6.82
Zm00001d002198	7980	4	0	-0.06	1.09
Zm00001d002199	7981	7	0	0.5	1.57
Zm00001d002211	7982	4	0	0.43	2.21
ENSRNA049472604	7983	6	0	3.93	3.91
Zm00001d002212	7984	2	0	-5.03	-0.89
Zm00001d002213	7985	3	0	1.84	-5.83
Zm00001d002215	7986	3	0	-0.33	-6.73
Zm00001d002217	7988	2	0	-4.36	0.19
Zm00001d002223	7989	3	0	-1.38	-6.33
Zm00001d000753	7990	6	0	1.64	1.35
Zm00001d002239	7995	3	0	0.65	-0.76
Zm00001d002242	7998	4	0	0	6.31
Zm00001d002252	8003	3	0	0.88	-1.96
Zm00001d002253	8004	2	0	-0.7	0.37
Zm00001d002255	8005	2	0	-1.34	0.79
Zm00001d002260	8010	4	0	0.13	1.71
Zm00001d000755	8012	6	0	5.27	4.54
Zm00001d002262	8013	5	0	1.08	0.38
Zm00001d002263	8014	6	0	1.02	0.8
Zm00001d002269	8017	4	0	0	5.54
Zm00001d002271	8018	5	0	5.27	0
Zm00001d000756	8021	5	0	1.85	-1.52
Zm00001d002276	8023	0	0	-1.71	-3.27
Zm00001d002277	8024	4	0	0.21	1.09
Zm00001d002278	8025	6	0	2.42	2.88
Zm00001d002281	8026	5	0	5.27	0
Zm00001d002285	8030	6	0	6.19	5.73
Zm00001d002288	8033	6	0	2.28	2.07
Zm00001d002290	8034	5	0	0.72	-0.71
Zm00001d002304	8041	3	0	2.2	-5.03
Zm00001d002311	8044	0	0	-1.22	-1.78
Zm00001d002318	8051	6	0	5.93	6.26
Zm00001d002320	8053	5	0	1.43	0.58
Zm00001d002325	8056	4	0	-0.28	0.76
Zm00001d002326	8057	6	0	1.39	0.73
Zm00001d002342	8066	4	0	-0.42	0.93
Zm00001d002346	8070	3	0	0.54	-1.3
Zm00001d002347	8071	7	0	2.75	4.02
Zm00001d002348	8072	3	0	-0.07	-1.15
Zm00001d002350	8074	5	0	5.27	0
Zm00001d002353	8076	3	0	0.65	-1.66
Zm00001d002357	8078	7	0	0.97	2.12
Zm00001d002360	8081	6	0	1.15	0.95
Zm00001d002365	8084	5	0	6.03	0
Zm00001d002370	8087	4	0	0	7.32
Zm00001d002373	8090	4	0	-0.45	0.82
Zm00001d002374	8091	7	0	1.04	1.88
Zm00001d002375	8092	5	0	5.11	0
Zm00001d002380	8094	2	0	-6.06	-1.92
Zm00001d002381	8095	4	0	0.17	1.14
Zm00001d002385	8099	5	0	0.59	-0.49
Zm00001d002389	8103	6	0	4.27	3.91
Zm00001d002395	8107	2	0	-0.64	0.48
Zm00001d002402	8109	5	0	1.18	-1.09
Zm00001d002406	8112	3	0	1.84	-3.42
Zm00001d002407	8113	1	0	-5.09	-5.09
Zm00001d002408	8114	4	0	-0.56	1.48
Zm00001d002409	8115	3	0	0.83	-6.06
Zm00001d002410	8116	3	0	-0.23	-1.01
Zm00001d002412	8118	5	0	2.28	1.13
Zm00001d002415	8119	7	0	0.73	1.08
Zm00001d002416	8120	7	0	0.76	1.96
Zm00001d002422	8125	3	0	0.73	-0.84
Zm00001d002423	8126	4	0	0.22	1.27
Zm00001d002427	8130	3	0	1.17	-1.39
Zm00001d002432	8135	0	0	-0.68	-1.83
Zm00001d002434	8137	3	0	0.89	-1.61
Zm00001d002435	8138	3	0	-0.41	-4.36
Zm00001d002436	8139	3	0	0.04	-1.75
Zm00001d002437	8140	3	0	0.6	-2.2
Zm00001d002439	8141	0	0	-1.21	-2.85
Zm00001d002441	8143	5	0	1.08	-0.96
Zm00001d002444	8144	6	0	1.27	1.19
Zm00001d002446	8145	5	0	7.67	0
Zm00001d002447	8146	6	0	4.27	4.91
Zm00001d002448	8147	6	0	3.95	4.91
Zm00001d002449	8148	7	0	0.63	2.13
Zm00001d002454	8151	7	0	2.08	2.91
Zm00001d002457	8154	3	0	1.97	-5.69
Zm00001d002458	8155	4	0	0	5.54
Zm00001d002473	8157	2	0	-5.24	1.02
Zm00001d002474	8158	4	0	0.15	2.49
Zm00001d002476	8160	4	0	0	5.58
Zm00001d002477	8161	3	0	1.07	-1.86
Zm00001d002479	8163	5	0	6.74	0
Zm00001d002480	8164	3	0	0.23	-0.88
Zm00001d002482	8166	5	0	5.75	0
Zm00001d002488	8169	3	0	0.37	-1.66
Zm00001d002489	8170	6	0	2.4	2.2
Zm00001d002490	8171	5	0	0.83	-0.77
Zm00001d002491	8172	6	0	4.94	5.03
Zm00001d002492	8173	3	0	-0.22	-1.88
Zm00001d002495	8174	3	0	0.42	-5.69
Zm00001d002498	8175	5	0	1.57	-0.86
Zm00001d002500	8177	5	0	2.63	0.71
Zm00001d000763	8178	6	0	3.11	2.43
Zm00001d002503	8180	7	0	2.02	2.94
Zm00001d002505	8182	5	0	1.88	-0.76
Zm00001d002509	8183	5	0	1.28	-0.1
Zm00001d002512	8186	3	0	0.75	-0.77
Zm00001d002514	8187	6	0	3.93	4.54
Zm00001d002517	8188	3	0	2.78	-3.84
Zm00001d002519	8189	5	0	1.54	0.32
Zm00001d002520	8190	5	0	1.12	0.19
Zm00001d002532	8196	5	0	7.14	0
Zm00001d002534	8197	3	0	0.04	-1.48
Zm00001d002536	8199	3	0	0.42	-3.56
Zm00001d002540	8203	5	0	0.97	-0.67
Zm00001d002541	8204	5	0	1.65	0.49
Zm00001d002544	8207	6	0	1.09	0.91
Zm00001d002545	8208	4	0	-0.33	1.29
Zm00001d002549	8212	6	0	4.03	2.25
Zm00001d002550	8213	2	0	-3.77	2.77
Zm00001d000764	8216	1	0	-1.87	-1.87
Zm00001d002568	8221	6	0	2.18	2.43
Zm00001d002569	8222	5	0	5.63	0
Zm00001d002570	8223	3	0	0.44	-6.95
Zm00001d002571	8224	3	0	-0.41	-4.36
ENSRNA049468588	8234	2	0	-0.89	0.47
Zm00001d002591	8236	5	0	0.6	-0.43
Zm00001d002594	8239	5	0	2.66	-0.71
Zm00001d002596	8241	2	0	-6.45	-0.41
Zm00001d002597	8242	2	0	-0.84	0.35
Zm00001d002610	8251	3	0	-0.12	-1.19
Zm00001d002613	8253	3	0	0.59	-4.36
Zm00001d002614	8254	3	0	0.69	-1.28
Zm00001d002616	8256	3	0	-1.06	-6.8
Zm00001d002618	8258	0	0	-0.44	-1.03
Zm00001d002620	8259	3	0	0.19	-2.21
Zm00001d002623	8261	3	0	1.22	-1.53
Zm00001d002626	8264	3	0	-0.42	-5.36
Zm00001d002629	8265	7	0	4.27	6.01
Zm00001d002632	8268	0	0	-0.53	-1.18
Zm00001d002634	8269	5	0	5.53	0
Zm00001d002642	8273	7	0	3.82	6.7
Zm00001d000770	8275	0	0	-0.46	-1.69
Zm00001d002649	8276	2	0	-3.77	0.37
Zm00001d002654	8278	4	0	-0.12	1.05
Zm00001d000771	8280	4	0	0	5.36
Zm00001d002658	8281	5	0	0.99	-0.87
Zm00001d002662	8284	3	0	-0.12	-1.27
Zm00001d002666	8286	1	0	-5.36	-5.36
Zm00001d002669	8288	5	0	1.57	0.58
Zm00001d002671	8289	3	0	0.64	-4.12
Zm00001d002675	8292	5	0	4.47	1.78
Zm00001d002678	8295	4	0	0.59	2.21
Zm00001d002679	8296	6	0	2.49	2.96
Zm00001d002683	8300	3	0	-0.83	-4.77
Zm00001d002687	8303	6	0	1.19	1.24
Zm00001d002690	8305	3	0	0.03	-2.29
Zm00001d002693	8306	5	0	1.17	0.27
Zm00001d002695	8308	6	0	0.87	1.13
Zm00001d002698	8310	4	0	0	6.52
Zm00001d002700	8311	7	0	0.48	1.56
Zm00001d002706	8315	3	0	0.32	-2.96
Zm00001d002707	8316	3	0	-0.28	-1.53
Zm00001d002708	8317	4	0	0.26	1.15
Zm00001d002712	8319	5	0	5.52	0
Zm00001d002720	8324	4	0	0	5.14
Zm00001d002721	8325	5	0	5.27	0
Zm00001d002723	8326	5	0	5.11	0
Zm00001d002726	8328	6	0	1.19	1.06
Zm00001d002728	8330	3	0	0.02	-4.24
Zm00001d002733	8334	2	0	-1	-0.31
Zm00001d002735	8336	5	0	0.64	-0.5
Zm00001d002737	8337	2	0	-0.71	0.31
Zm00001d002738	8338	1	0	-3.61	-3.96
Zm00001d002739	8339	3	0	0.24	-0.98
Zm00001d002743	8342	5	0	5.95	0
Zm00001d002748	8344	3	0	0.64	-3.67
Zm00001d002755	8346	7	0	0.57	1.59
Zm00001d002756	8347	5	0	1.23	0.58
Zm00001d002758	8349	4	0	0.01	1.49
Zm00001d002759	8350	5	0	1.82	-0.11
Zm00001d002760	8351	3	0	0.65	-5.87
Zm00001d002761	8352	4	0	0	5.91
Zm00001d002762	8353	5	0	1.68	0.31
Zm00001d002768	8354	6	0	3.09	3.22
Zm00001d002774	8357	3	0	-0.45	-1.78
Zm00001d002776	8359	3	0	-0.31	-2.81
Zm00001d002777	8360	1	0	-5.94	-5.94
Zm00001d002783	8364	6	0	5.75	5.87
Zm00001d002788	8367	5	0	2.07	0.1
Zm00001d002789	8368	4	0	-0.08	1.03
Zm00001d002796	8371	4	0	-0.32	1.23
Zm00001d002798	8373	7	0	0.9	2.14
Zm00001d002803	8377	5	0	1.07	-0.9
Zm00001d002804	8378	4	0	0	5.14
Zm00001d002806	8379	1	0	-1.93	-2.25
Zm00001d002813	8383	2	0	-1.27	-0.39
Zm00001d002815	8385	5	0	2.28	0.71
Zm00001d002816	8386	7	0	4.27	6.33
Zm00001d002822	8390	2	0	-0.58	0.54
Zm00001d002825	8393	4	0	-0.47	2.68
Zm00001d002826	8394	6	0	3.75	2.69
Zm00001d002828	8396	6	0	1.78	1.3
Zm00001d002830	8398	3	0	1.74	-2.21
Zm00001d002833	8399	5	0	0.93	-0.79
Zm00001d002835	8401	4	0	-0.56	2.43
Zm00001d002837	8403	6	0	2.62	1.32
Zm00001d002839	8404	0	0	-2.53	-6.47
Zm00001d002841	8405	3	0	2.23	-4.36
Zm00001d002843	8407	3	0	0.22	-1.37
Zm00001d002844	8408	5	0	5.27	0
Zm00001d002847	8409	7	0	1.96	3.19
Zm00001d002848	8410	5	0	2.87	-0.74
Zm00001d002849	8411	6	0	1.8	2.12
Zm00001d002860	8419	3	0	0.06	-1.4
Zm00001d002865	8421	3	0	0.43	-1.09
